"category0_id","category1_id","category2_id","category3_id","category4_id","category5_id"
69,70,435,279,222,222
69,70,435,279,230,230
69,70,435,279,278,24
69,70,435,279,278,57
69,70,435,279,278,111
69,70,435,279,278,174
69,70,435,279,278,192
69,70,435,279,278,224
69,70,435,279,278,278
69,70,435,279,278,293
69,70,435,279,278,325
69,70,435,279,279,279
69,70,435,279,281,281
69,70,435,279,433,433
69,70,435,438,438,438
69,70,435,439,439,439
69,73,72,145,49,49
69,73,73,73,73,73
69,73,121,3,34,34
69,73,121,3,34,76
69,73,402,3,3,3
69,73,402,3,34,33
69,73,402,3,34,61
69,73,402,3,142,142
69,73,402,3,176,5
69,73,402,3,176,41
69,73,402,3,176,42
69,73,402,3,176,134
69,73,402,3,176,175
69,73,402,3,176,176
69,73,402,3,176,245
69,73,402,3,176,255
69,73,402,3,176,259
69,73,402,3,176,295
69,73,402,3,176,316
69,73,402,3,176,322
69,73,402,3,246,246
69,73,402,3,323,276
69,73,402,3,323,323
69,73,402,121,121,121
69,73,402,122,122,122
69,73,402,211,65,65
69,73,402,211,83,83
69,73,402,211,130,130
69,73,402,211,211,211
69,73,402,211,273,264
69,73,402,211,273,273
69,73,402,211,284,284
69,73,402,211,292,292
69,73,402,211,318,318
69,73,402,299,299,299
69,73,402,403,26,26
69,73,402,403,50,50
69,73,402,403,51,51
69,73,402,403,59,59
69,73,402,403,82,82
69,73,402,403,86,86
69,73,402,403,98,98
69,73,402,403,120,120
69,73,402,403,123,123
69,73,402,403,129,129
69,73,402,403,187,187
69,73,402,403,188,188
69,73,402,403,219,219
69,73,402,403,237,237
69,73,402,403,239,239
69,73,402,403,262,262
69,73,402,403,269,269
69,73,402,403,310,310
69,73,406,22,20,20
69,73,406,22,21,21
69,73,406,22,22,22
69,73,406,154,30,30
69,73,406,154,136,136
69,73,406,154,154,154
69,73,406,154,168,168
69,73,406,154,214,214
69,73,406,154,227,227
69,73,406,226,29,29
69,73,406,226,37,37
69,73,406,226,88,88
69,73,406,226,93,93
69,73,406,226,107,107
69,73,406,226,112,112
69,73,406,226,118,118
69,73,406,226,140,140
69,73,406,226,217,217
69,73,406,226,220,220
69,73,406,226,226,226
69,73,406,226,266,266
69,73,406,241,95,95
69,73,406,241,169,169
69,73,406,241,241,241
69,73,436,99,99,99
69,73,436,131,131,131
69,73,436,137,35,35
69,73,436,137,74,74
69,73,436,137,97,97
69,73,436,137,137,137
69,73,436,137,218,218
69,73,436,137,302,302
69,73,436,138,138,138
69,73,436,185,185,185
69,73,436,434,434,434
69,162,162,162,162,162
69,238,238,238,238,238
69,253,17,17,54,54
69,253,63,63,63,63
69,253,146,146,146,146
69,253,147,147,147,147
69,253,253,253,253,253
69,282,193,193,193,193
69,282,194,194,194,194
69,282,207,207,207,207
69,282,209,209,209,209
69,282,210,210,210,210
69,282,233,233,233,233
69,282,244,244,244,244
106,106,106,106,106,106
106,106,106,250,250,250
115,115,116,116,27,27
115,115,116,116,79,79
115,115,116,116,116,116
115,115,116,116,165,165
115,115,116,116,225,225
115,115,161,161,13,13
115,115,161,161,144,144
115,115,161,161,161,161
115,115,161,161,172,172
115,115,161,161,242,242
115,115,247,247,248,248
115,115,247,247,277,277
115,116,52,52,52,52
156,156,2,2,2,2
156,156,15,15,15,15
156,156,156,156,156,156
156,156,183,1,1,1
156,156,183,14,14,14
